order_id,order_date,region,category,quantity,unit_price ($),customer_id,revenue ($)
10001,2025-04-13,Lagos,Home,11,74.76,1070,822.36
10002,2025-12-15,Edmonton,Clothing,10,411.86,1162,4118.6
10003,2025-09-28,Lagos,Beauty,11,119.05,1172,1309.55
10004,2025-04-17,Calgary,Electronics,4,326.84,1140,1307.36
10005,2025-03-13,Kumasi,Beauty,11,203.79,1137,2241.69
10006,2025-07-08,Lagos,Groceries,2,298.83,1065,597.66
10007,2025-01-21,Abuja,Groceries,4,55.51,1197,222.04
10009,2025-05-02,Abuja,Beauty,2,454.96,1227,909.92
10010,2025-08-03,Accra,Home,8,136.28,1280,1090.24
10012,2025-03-29,Lagos,Groceries,2,499.68,1315,999.36
10013,2025-04-10,Abuja,Home,6,107.29,1039,643.74
10014,2025-12-26,Kumasi,Groceries,10,134.06,1006,1340.6
10015,2025-06-01,Accra,Electronics,9,332.1,1173,2988.9
10016,2025-05-11,Calgary,Beauty,7,482.79,1150,3379.53
10017,2025-05-30,Edmonton,Home,9,458.08,1210,4122.72
10018,2025-11-05,Kumasi,Groceries,5,252.43,1301,1262.15
10019,2025-09-15,Kumasi,Clothing,7,397.96,1085,2785.72
10020,2025-12-10,Calgary,Home,11,69.6,1396,765.6
10021,2025-10-21,Kumasi,Electronics,7,488.76,1252,3421.32
10022,2025-07-11,Accra,Electronics,3,482.25,1020,1446.75
10023,2025-10-04,Accra,Clothing,7,83.54,1256,584.78
10024,2025-06-10,Calgary,Groceries,1,151.11,1378,151.11
10025,2025-11-10,Edmonton,Home,9,51.88,1380,466.92
10026,2025-01-22,Lagos,Groceries,10,137.32,1032,1373.2
10027,2025-09-10,Abuja,Electronics,6,408.35,1259,2450.1
10028,2025-08-24,Calgary,Groceries,5,190.4,1233,952.0
10029,2025-12-11,Kumasi,Electronics,7,46.02,1002,322.14
10030,2025-02-18,Abuja,Groceries,5,172.43,1346,862.15
10031,2025-02-28,Calgary,Clothing,10,490.73,1307,4907.3
10032,2025-06-19,Calgary,Beauty,5,315.58,1226,1577.9
10033,2025-07-07,Edmonton,Clothing,11,209.25,1283,2301.75
10034,2025-09-28,Abuja,Clothing,10,84.94,1069,849.4
10035,2025-07-09,Accra,Beauty,11,493.12,1312,5424.32
10037,2025-02-20,Kumasi,Home,10,142.18,1253,1421.8
10038,2025-12-30,Accra,Home,7,36.89,1143,258.23
10039,2025-02-24,Calgary,Clothing,11,30.2,1023,332.2
10040,2025-09-01,Abuja,Clothing,3,61.95,1233,185.85
10041,2025-11-16,Lagos,Electronics,3,291.22,1332,873.66
10042,2025-05-11,Edmonton,Electronics,10,464.52,1174,4645.2
